TRAIL_NUMBER,TRAIL_NAME,TRAIL_TYPE,TRAIL_CN,BMP,EMP,SEGMENT_LENGTH,MANAGING_ORG,SECURITY_ID,NATIONAL_TRAIL_DESIGNATION,TRAIL_CLASS,TERRA_BASE_SYMBOLOGY,ACCESSIBILITY_STATUS,TRAIL_SURFACE,SURFACE_FIRMNESS,TYPICAL_TRAIL_GRADE,TYPICAL_TREAD_WIDTH,MINIMUM_TRAIL_WIDTH,TYPICAL_TREAD_CROSS_SLOPE,SPECIAL_MGMT_AREA,MVUM_SYMBOL,ALLOWED_TERRA_USE,ALLOWED_SNOW_USE,HIKER_PEDESTRIAN_MANAGED,HIKER_PEDESTRIAN_ACCPT_DISC,HIKER_PEDESTRIAN_RESTRICTED,PACK_SADDLE_MANAGED,PACK_SADDLE_ACCPT_DISC,PACK_SADDLE_RESTRICTED,BICYCLE_MANAGED,BICYCLE_ACCPT_DISC,BICYCLE_RESTRICTED,MOTORCYCLE_MANAGED,MOTORCYCLE_ACCPT_DISC,MOTORCYCLE_RESTRICTED,ATV_MANAGED,ATV_ACCPT_DISC,ATV_RESTRICTED,FOURWD_MANAGED,FOURWD_ACCPT_DISC,FOURWD_RESTRICTED,SNOWMOBILE_MANAGED,SNOWMOBILE_ACCPT_DISC,SNOWMOBILE_RESTRICTED,SNOWSHOE_MANAGED,SNOWSHOE_ACCPT_DISC,SNOWSHOE_RESTRICTED,XCOUNTRY_SKI_MANAGED,XCOUNTRY_SKI_ACCPT_DISC,XCOUNTRY_SKI_RESTRICTED,MOTOR_WATERCRAFT_RESTRICTED,NONMOTOR_WATERCRAFT_RESTRICTED,GIS_MILES,TERRA_MOTORIZED,SNOW_MOTORIZED,OBJECTID,GLOBALID,SHAPELEN
533.1,PASAYTEN,TERRA,825000000000.000000,0,0.8,0.8,61704,617,0,NA,TC3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.776,NA,NA,64647,{732DED4C-219A-403E-9754-10A07701045F},0.0149445170
964A,EDGAR ROCK,TERRA,8228.004574,0,0.3,0.3,61708,617,0,NA,TC1-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.277,NA,NA,64648,{4DF4C8C3-840F-4E36-B8AF-2B86215A5EB6},0.0050039320
494.1,REMMEL SPUR,TERRA,825000000000.000000,0,0.25,0.25,61704,617,0,NA,TC3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.244,NA,NA,64649,{66319943-8B28-4082-95C4-9A974572292E},0.0053206700
474A,FERGUSON LAKE,TERRA,823000000000.000000,0,0.7,0.7,61704,617,0,NA,TC1-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.729,NA,NA,64650,{6D03B762-8FB9-4059-B971-AB9C5EF681C6},0.0124604510
984,NELSON RIDGE,TERRA,8254.004574,0,6.5,6.5,61708,617,0,NA,TC1-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.923,NA,NA,64651,{E40BE756-4126-4F83-A1CC-9201923FED02},0.1042463290
1321.1,MOUNT CLIFTY,TERRA,8489.004574,0,1.71,1.71,61703,617,0,NA,TC3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.691,NA,NA,64652,{3DC50291-8513-460E-A57F-2ACEF602E4B8},0.0275027930
1316.1,THORP LAKE,TERRA,8484.004574,0,0.3,0.3,61703,617,0,NA,TC1-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.255,NA,NA,64653,{5E3AC0BE-639C-4B3F-8F1F-82160F2A002E},0.0037624090
1315,KACHESS RIDGE,TERRA,8479.004574,0,13.35,13.35,61703,617,0,NA,TC3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.470,NA,NA,64654,{C0E12C7E-EED1-4003-B21D-CD155E0E1AEE},0.2004924620
1321.2,GREEK CREEK BASIN,TERRA,8490.004574,0,3.2,3.2,61703,617,0,NA,TC1-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.764,NA,NA,64655,{D271913B-BA45-4B27-A4B5-5A863A6C4C6E},0.0456504550
1317,TIRED CREEK,TERRA,8485.004574,0,3.35,3.35,61703,617,0,NA,TC4-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.861,NA,NA,64656,{8A1DDAFA-B559-4830-9E1E-D9F2297E0264},0.0482360230
